dznrm2           RCnrm2
dlasq5           Rlasq5
dlasq6           Rlasq6
dlasr            Rlasr
dlasrt           Rlasrt
dlassq           Rlassq
dlasv2           Rlasv2
dlaswlq          Rlaswlq
dlaswp           Rlaswp
dlasy2           Rlasy2
dlasyf           Rlasyf
dlasyf_aa        Rlasyf_aa
dlasyf_rk        Rlasyf_rk
dlasyf_rook      Rlasyf_rook
dlat2s           Rlat2s
dlatbs           Rlatbs
dlatdf           Rlatdf
dlatps           Rlatps
dlatrd           Rlatrd
dlatrs           Rlatrs
dlatrz           Rlatrz
dlatsqr          Rlatsqr
dlauu2           Rlauu2
dlauum           Rlauum
dopgtr           Ropgtr
dopmtr           Ropmtr
dorbdb           Rorbdb
dorbdb1          Rorbdb1
dorbdb2          Rorbdb2
dorbdb3          Rorbdb3
dorbdb4          Rorbdb4
dorbdb5          Rorbdb5
dorbdb6          Rorbdb6
dorcsd           Rorcsd
dorcsd2by1       Rorcsd2by1
dorg2l           Rorg2l
dorg2r           Rorg2r
dorgbr           Rorgbr
dorghr           Rorghr
dorgl2           Rorgl2
dorglq           Rorglq
dorgql           Rorgql
dorgqr           Rorgqr
dorgr2           Rorgr2
dorgrq           Rorgrq
dorgtr           Rorgtr
dorgtsqr         Rorgtsqr
dorgtsqr_row     Rorgtsqr_row
dorhr_col        Rorhr_col
dorm22           Rorm22
dorm2l           Rorm2l
dorm2r           Rorm2r
dormbr           Rormbr
dormhr           Rormhr
dorml2           Rorml2
dormlq           Rormlq
dormql           Rormql
dormqr           Rormqr
dormr2           Rormr2
dormr3           Rormr3
dormrq           Rormrq
dormrz           Rormrz
dormtr           Rormtr
dpbcon           Rpbcon
dpbequ           Rpbequ
dpbrfs           Rpbrfs
dpbstf           Rpbstf
dpbsv            Rpbsv
dpbsvx           Rpbsvx
dpbtf2           Rpbtf2
dpbtrf           Rpbtrf
dpbtrs           Rpbtrs
dpftrf           Rpftrf
dpftri           Rpftri
dpftrs           Rpftrs
dpocon           Rpocon
dpoequ           Rpoequ
dpoequb          Rpoequb
dporfs           Rporfs
dporfsx          Rporfsx
dposv            Rposv
dposvx           Rposvx
dposvxx          Rposvxx
dpotf2           Rpotf2
dpotrf           Rpotrf
dpotrf2          Rpotrf2
dpotri           Rpotri
dpotrs           Rpotrs
dppcon           Rppcon
dppequ           Rppequ
dpprfs           Rpprfs
dppsv            Rppsv
dppsvx           Rppsvx
dpptrf           Rpptrf
dpptri           Rpptri
dpptrs           Rpptrs
dpstf2           Rpstf2
dpstrf           Rpstrf
dptcon           Rptcon
dpteqr           Rpteqr
dptrfs           Rptrfs
dptsv            Rptsv
dptsvx           Rptsvx
dpttrf           Rpttrf
dpttrs           Rpttrs
dptts2           Rptts2
drscl            Rrscl
dsb2st_kernels   Rsb2st_kernels
dsbev            Rsbev
dsbev_2stage     Rsbev_2stage
dsbevd           Rsbevd
dsbevd_2stage    Rsbevd_2stage
dsbevx           Rsbevx
dsbevx_2stage    Rsbevx_2stage
dsbgst           Rsbgst
dsbgv            Rsbgv
dsbgvd           Rsbgvd
dsbgvx           Rsbgvx
dsbtrd           Rsbtrd
dsfrk            Rsfrk
dsgesv           Rsgesv
dspcon           Rspcon
dspev            Rspev
dspevd           Rspevd
dspevx           Rspevx
dspgst           Rspgst
dspgv            Rspgv
dspgvd           Rspgvd
dspgvx           Rspgvx
dsposv           Rsposv
dsprfs           Rsprfs
dspsv            Rspsv
dspsvx           Rspsvx
dsptrd           Rsptrd
dsptrf           Rsptrf
dsptri           Rsptri
dsptrs           Rsptrs
dstebz           Rstebz
dstedc           Rstedc
dstegr           Rstegr
dstein           Rstein
dstemr           Rstemr
dsteqr           Rsteqr
dsterf           Rsterf
dstev            Rstev
dstevd           Rstevd
dstevr           Rstevr
dstevx           Rstevx
dsycon           Rsycon
dsycon_3         Rsycon_3
dsycon_rook      Rsycon_rook
dsyconv          Rsyconv
dsyconvf         Rsyconvf
dsyconvf_rook    Rsyconvf_rook
dsyequb          Rsyequb
dsyev            Rsyev
dsyev_2stage     Rsyev_2stage
dsyevd           Rsyevd
dsyevd_2stage    Rsyevd_2stage
dsyevr           Rsyevr
dsyevr_2stage    Rsyevr_2stage
dsyevx           Rsyevx
dsyevx_2stage    Rsyevx_2stage
dsygs2           Rsygs2
dsygst           Rsygst
dsygv            Rsygv
dsygv_2stage     Rsygv_2stage
dsygvd           Rsygvd
dsygvx           Rsygvx
dsyrfs           Rsyrfs
dsyrfsx          Rsyrfsx
dsysv            Rsysv
dsysv_aa         Rsysv_aa
dsysv_aa_2stage  Rsysv_aa_2stage
dsysv_rk         Rsysv_rk
dsysv_rook       Rsysv_rook
dsysvx           Rsysvx
dsysvxx          Rsysvxx
dsyswapr         Rsyswapr
dsytd2           Rsytd2
dsytf2           Rsytf2
dsytf2_rk        Rsytf2_rk
dsytf2_rook      Rsytf2_rook
dsytrd           Rsytrd
dsytrd_2stage    Rsytrd_2stage
dsytrd_sb2st     Rsytrd_sb2st
dsytrd_sy2sb     Rsytrd_sy2sb
dsytrf           Rsytrf
dsytrf_aa        Rsytrf_aa
dsytrf_aa_2stage Rsytrf_aa_2stage
dsytrf_rk        Rsytrf_rk
dsytrf_rook      Rsytrf_rook
dsytri           Rsytri
dsytri2          Rsytri2
dsytri2x         Rsytri2x
dsytri_3         Rsytri_3
dsytri_3x        Rsytri_3x
dsytri_rook      Rsytri_rook
dsytrs           Rsytrs
dsytrs2          Rsytrs2
dsytrs_3         Rsytrs_3
dsytrs_aa        Rsytrs_aa
dsytrs_aa_2stage Rsytrs_aa_2stage
dsytrs_rook      Rsytrs_rook
dtbcon           Rtbcon
dtbrfs           Rtbrfs
dtbtrs           Rtbtrs
dtfsm            Rtfsm
dtftri           Rtftri
dtfttp           Rtfttp
dtfttr           Rtfttr
dtgevc           Rtgevc
dtgex2           Rtgex2
dtgexc           Rtgexc
dtgsen           Rtgsen
dtgsja           Rtgsja
dtgsna           Rtgsna
dtgsy2           Rtgsy2
dtgsyl           Rtgsyl
dtpcon           Rtpcon
dtplqt           Rtplqt
dtplqt2          Rtplqt2
dtpmlqt          Rtpmlqt
dtpmqrt          Rtpmqrt
dtpqrt           Rtpqrt
dtpqrt2          Rtpqrt2
dtprfb           Rtprfb
dtprfs           Rtprfs
dtptri           Rtptri
dtptrs           Rtptrs
dtpttf           Rtpttf
dtpttr           Rtpttr
dtrcon           Rtrcon
dtrevc           Rtrevc
dtrevc3          Rtrevc3
dtrexc           Rtrexc
dtrrfs           Rtrrfs
dtrsen           Rtrsen
dtrsna           Rtrsna
dtrsyl           Rtrsyl
dtrti2           Rtrti2
dtrtri           Rtrtri
dtrtrs           Rtrtrs
dtrttf           Rtrttf
dtrttp           Rtrttp
dtzrzf           Rtzrzf
icmax1           icmax1
ilaclc           ilaclc
ilaclr           ilaclr
iladiag          iladiag
ilaslc           ilaslc
ilaslr           ilaslr
zbbcsd           Cbbcsd
zbdsqr           Cbdsqr
zcgesv           Ccgesv
zcposv           Ccposv
zgbbrd           Cgbbrd
zgbcon           Cgbcon
zgbequ           Cgbequ
zgbequb          Cgbequb
zgbrfs           Cgbrfs
zgbrfsx          Cgbrfsx
zgbsv            Cgbsv
zgbsvx           Cgbsvx
zgbsvxx          Cgbsvxx
zgbtf2           Cgbtf2
zgbtrf           Cgbtrf
zgbtrs           Cgbtrs
zgebak           Cgebak
zgebal           Cgebal
zgebd2           Cgebd2
zgebrd           Cgebrd
zgecon           Cgecon
zgeequ           Cgeequ
zgeequb          Cgeequb
zgees            Cgees
zgeesx           Cgeesx
zgeev            Cgeev
zgeevx           Cgeevx
zgehd2           Cgehd2
zgehrd           Cgehrd
zgejsv           Cgejsv
zgelq            Cgelq
zgelq2           Cgelq2
zgelqf           Cgelqf
zgelqt           Cgelqt
zgelqt3          Cgelqt3
zgels            Cgels
zgelsd           Cgelsd
zgelss           Cgelss
zgelsy           Cgelsy
zgemlq           Cgemlq
zgemlqt          Cgemlqt
zgemqr           Cgemqr
zgemqrt          Cgemqrt
zgeql2           Cgeql2
zgeqlf           Cgeqlf
zgeqp3           Cgeqp3
zgeqr            Cgeqr
zgeqr2           Cgeqr2
zgeqr2p          Cgeqr2p
zgeqrf           Cgeqrf
zgeqrfp          Cgeqrfp
zgeqrt           Cgeqrt
zgeqrt2          Cgeqrt2
zgeqrt3          Cgeqrt3
zgerfs           Cgerfs
zgerfsx          Cgerfsx
zgerq2           Cgerq2
zgerqf           Cgerqf
zgesc2           Cgesc2
zgesdd           Cgesdd
zgesv            Cgesv
zgesvd           Cgesvd
zgesvdq          Cgesvdq
zgesvdx          Cgesvdx
zgesvj           Cgesvj
zgesvx           Cgesvx
zgesvxx          Cgesvxx
zgetc2           Cgetc2
zgetf2           Cgetf2
zgetrf           Cgetrf
zgetrf2          Cgetrf2
zgetri           Cgetri
zgetrs           Cgetrs
zgetsls          Cgetsls
zgetsqrhrt       Cgetsqrhrt
zggbak           Cggbak
zggbal           Cggbal
zgges            Cgges
zgges3           Cgges3
zggesx           Cggesx
zggev            Cggev
zggev3           Cggev3
zggevx           Cggevx
zggglm           Cggglm
zgghd3           Cgghd3
zgghrd           Cgghrd
zgglse           Cgglse
zggqrf           Cggqrf
zggrqf           Cggrqf
zggsvd3          Cggsvd3
zggsvp3          Cggsvp3
zgsvj0           Cgsvj0
zgsvj1           Cgsvj1
zgtcon           Cgtcon
zgtrfs           Cgtrfs
zgtsv            Cgtsv
zgtsvx           Cgtsvx
zgttrf           Cgttrf
zgttrs           Cgttrs
zgtts2           Cgtts2
zhb2st_kernels   Chb2st_kernels
zhbev            Chbev
zhbev_2stage     Chbev_2stage
zhbevd           Chbevd
zhbevd_2stage    Chbevd_2stage
zhbevx           Chbevx
zhbevx_2stage    Chbevx_2stage
zhbgst           Chbgst
zhbgv            Chbgv
zhbgvd           Chbgvd
zhbgvx           Chbgvx
zhbtrd           Chbtrd
zhecon           Checon
zhecon_3         Checon_3
zhecon_rook      Checon_rook
zheequb          Cheequb
zheev            Cheev
zheev_2stage     Cheev_2stage
zheevd           Cheevd
zheevd_2stage    Cheevd_2stage
zheevr           Cheevr
zheevr_2stage    Cheevr_2stage
zheevx           Cheevx
zheevx_2stage    Cheevx_2stage
